Date,volume,open,high,low,close
2021-05-31,30657474,595.0,597.0,590.0,597.0
2021-06-01,17818326,598.0,599.0,595.0,598.0
2021-06-02,21872755,600.0,600.0,593.0,595.0
2021-06-03,21077164,600.0,600.0,596.0,596.0
2021-06-04,15756180,591.0,595.0,590.0,595.0
2021-06-07,17077625,594.0,595.0,583.0,592.0
2021-06-08,13396324,590.0,595.0,588.0,589.0
2021-06-09,20023490,586.0,588.0,583.0,586.0
2021-06-10,28527745,591.0,599.0,587.0,599.0
2021-06-11,24227710,602.0,603.0,600.0,602.0
2021-06-15,26012250,607.0,609.0,606.0,609.0
2021-06-16,25856919,608.0,608.0,605.0,605.0
2021-06-17,22872361,601.0,606.0,598.0,606.0
2021-06-18,32652017,608.0,608.0,601.0,603.0
2021-06-21,44279632,590.0,594.0,583.0,583.0
2021-06-22,27823974,585.0,588.0,578.0,578.0
2021-06-23,34392376,583.0,598.0,581.0,595.0
2021-06-24,16524230,598.0,598.0,588.0,590.0
2021-06-25,18841696,598.0,598.0,589.0,591.0
2021-06-28,15028407,590.0,590.0,586.0,590.0
2021-06-29,28659610,598.0,598.0,591.0,595.0
2021-06-30,24883853,599.0,599.0,595.0,595.0
2021-07-01,18250994,596.0,597.0,591.0,593.0
2021-07-02,18322419,590.0,593.0,587.0,588.0
2021-07-05,28836816,588.0,597.0,588.0,591.0
2021-07-06,12997112,595.0,596.0,589.0,592.0
2021-07-07,16966158,590.0,594.0,588.0,594.0
2021-07-08,21140426,595.0,595.0,588.0,588.0
2021-07-09,29029415,582.0,585.0,580.0,584.0
2021-07-12,31304547,595.0,597.0,590.0,593.0
2021-07-13,52540315,600.0,608.0,599.0,607.0
2021-07-14,38418875,613.0,615.0,608.0,613.0
2021-07-15,22012834,613.0,614.0,608.0,614.0
2021-07-16,57970545,591.0,595.0,588.0,589.0
2021-07-19,40644341,583.0,584.0,578.0,582.0
2021-07-20,15354333,579.0,584.0,579.0,581.0
2021-07-21,25828732,586.0,586.0,580.0,585.0
2021-07-22,26058172,589.0,594.0,587.0,591.0
2021-07-23,15271451,592.0,592.0,583.0,585.0
2021-07-26,21619179,591.0,591.0,580.0,580.0
2021-07-27,17785992,581.0,584.0,580.0,580.0
2021-07-28,36158305,576.0,579.0,573.0,579.0
2021-07-29,23224896,585.0,585.0,577.0,583.0
2021-07-30,18999281,581.0,582.0,578.0,580.0
2021-08-02,23482491,583.0,590.0,580.0,590.0
2021-08-03,22747702,594.0,594.0,590.0,594.0
2021-08-04,20313271,598.0,598.0,594.0,596.0
2021-08-05,15116242,598.0,598.0,593.0,596.0
2021-08-06,13687213,596.0,596.0,588.0,591.0
2021-08-09,17390951,590.0,595.0,583.0,595.0
2021-08-10,17190865,596.0,596.0,589.0,591.0
2021-08-11,19969687,590.0,590.0,585.0,590.0
2021-08-12,15444622,586.0,588.0,584.0,586.0
2021-08-13,22524428,585.0,585.0,579.0,581.0
2021-08-16,19315705,582.0,586.0,578.0,584.0
2021-08-17,0,584.0,584.0,584.0,584.0
2021-08-18,43716164,568.0,575.0,566.0,574.0
2021-08-19,38868947,573.0,573.0,559.0,559.0
2021-08-20,45614061,560.0,563.0,551.0,552.0
2021-08-23,33685159,560.0,572.0,559.0,566.0
2021-08-24,24844800,574.0,575.0,571.0,572.0
2021-08-25,27504657,579.0,585.0,574.0,585.0
2021-08-26,43822008,601.0,603.0,591.0,594.0
2021-08-27,27105651,596.0,600.0,593.0,599.0
2021-08-30,36575609,602.0,605.0,599.0,605.0
2021-08-31,52721470,604.0,614.0,598.0,614.0
2021-09-01,30092045,614.0,614.0,608.0,613.0
2021-09-02,24112463,613.0,615.0,607.0,607.0
2021-09-03,51562454,610.0,620.0,610.0,620.0
2021-09-06,55589014,623.0,638.0,621.0,631.0
2021-09-07,26526056,634.0,634.0,623.0,623.0
2021-09-08,37817737,622.0,627.0,612.0,619.0
2021-09-09,18735512,612.0,620.0,610.0,619.0
2021-09-10,16304725,615.0,623.0,614.0,622.0
2021-09-13,15198774,619.0,620.0,613.0,615.0
2021-09-14,14441901,618.0,618.0,612.0,613.0
2021-09-15,23433501,610.0,613.0,607.0,607.0
2021-09-16,22467022,603.0,607.0,599.0,600.0
2021-09-17,40717715,600.0,610.0,599.0,600.0
2021-09-22,40642293,586.0,589.0,583.0,586.0
2021-09-23,21696296,588.0,593.0,588.0,588.0
2021-09-24,16736973,591.0,598.0,590.0,598.0
